student_id,course_level,category,gender,annual_income,marks_10,marks_12,ug_cgpa,field_of_study,disability,university_tier,UG1_CentralSector,UG2_Reliance,UG3_PostMatric_SC_ST,UG4_SwamiDayanand_Female,UG5_TopClass_SC,UG6_MeritMeans_OBC,UG7_AdityaBirla,UG8_Cummins_SC_ST_Engg,UG9_SitaramJindal,UG10_Disability,PG1_AICTE_NSPS,PG2_ReliancePG,PG3_PostMatric_SC_ST_OBC,PG4_NationalFellowship_OBC,PG5_INSPIRE,PG6_ICSSR,PG7_CumminsPG_SC_ST,PG8_TataTrusts
1,UG,GEN,Female,100000,87.23679486424192,74.87134377574787,,Medicine,No,Tier 2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2,PG,GEN,Male,331786,92.88823601045173,63.252989269193634,7.146656035448055,Commerce,No,Tier 2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
3,PG,GEN,Male,226963,84.56100894036214,67.64930827188526,6.173255857776985,Engineering,No,Tier 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,UG,OBC,Female,107446,72.89447354264456,69.53754173856807,,Medicine,No,Tier 2,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
5,UG,OBC,Male,100000,91.78115697218706,67.95164046243842,,Medicine,No,Tier 2,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
6,UG,SC,Female,156451,97.52575371442822,85.46321388703029,,Sciences,No,Tier 2,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
7,UG,GEN,Female,100000,88.17374216168658,100.0,,Sciences,No,Tier 2,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
8,PG,OBC,Male,141670,89.89124361759934,73.86811909780491,8.024286924495934,Engineering,No,Tier 2,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1
9,PG,SC,Female,125791,72.65198613633216,75.38870384628878,7.0983207079400445,Engineering,No,Tier 2,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1
10,PG,SC,Male,100000,92.06863633149226,72.98500943016343,6.266711643896684,Medicine,No,Tier 2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
11,UG,SC,Male,148947,98.46013822926349,90.29212112755542,,Sciences,No,Tier 2,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
12,PG,SC,Male,100000,89.04585474271454,85.11628232472057,9.142543957307106,Sciences,No,Tier 2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1
13,PG,ST,Male,100000,67.03216754123108,79.80047093413403,7.949543483293459,Medicine,No,Tier 3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1
14,UG,GEN,Male,130923,100.0,65.44266238939663,,Medicine,No,Tier 2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
15,UG,OBC,Male,100000,75.55176106356237,68.38685191702783,,Commerce,Yes,Tier 2,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0
16,UG,GEN,Female,100000,88.8778682688991,82.10352290669752,,Arts,No,Tier 1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
17,UG,GEN,Female,256968,94.52976268560919,82.67944748508722,,Engineering,No,Tier 2,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
